2019311	2 4 8	14	
2019310	7 6 5	18	
2019309	3 4 1	8	
2019308	6 7 2	15	
2019307	0 3 6	9	
2019306	1 5 3	9	
2019305	4 3 9	16	
2019304	4 6 5	15	
2019303	9 0 9	18	
2019302	4 2 6	12	
2019301	1 0 9	10	
2019300	9 3 6	18	
2019299	3 2 8	13
2019298	3 3 5	11	
2019297	9 5 6	20	
2019296	3 4 5	12	
2019295	8 7 7	22	
2019294	6 1 2	9	
2019293	6 6 3	15	
2019292	0 6 8	14	
2019291	8 8 2	18	
2019290	3 2 8	13	
2019289	3 6 2	11	
2019288	7 5 8	20	
2019287	7 1 5	13	
2019286	2 9 3	14	
2019285	0 5 9	14	
2019284	5 6 2	13	
2019283	4 4 4	12	
2019282	8 5 8	21	
2019281	9 8 0	17	
2019280	0 6 1	7	
2019279	2 6 6	14	
2019278	8 4 2	14	
2019277	0 4 6	10	
2019276	8 7 3	18	
2019275	4 9 7	20	
2019274	4 9 3	16	
2019273	1 3 4	8	
2019272	0 0 7	7	
2019271	6 9 5	20	
2019270	4 7 8	19	
2019269	4 1 7	12	
2019268	3 7 3	13	
2019267	8 9 8	25	
2019266	9 8 5	22	
2019265	9 9 9	27	
2019264	9 8 7	24	
2019263	9 4 9	22	
2019262	1 0 3	4	
2019261	5 9 1	15	
2019260	9 9 7	25	
2019259	9 8 9	26	
2019258	1 0 3	4	
2019257	0 1 0	1	
2019256	0 1 8	9	
2019255	2 6 3	11	
2019254	5 7 5	17	
2019253	2 8 1	11	
2019252	8 3 1	12	
2019251	0 5 0	5	
2019250	5 7 5	17	
2019249	7 1 9	17	
2019248	2 6 2	10	
2019247	6 7 0	13	
2019246	6 1 5	12	
2019245	8 1 2	11	
2019244	5 7 5	17	
2019243	6 8 2	16	
2019242	6 9 1	16	
2019241	6 0 8	14	
2019240	6 6 4	16	
2019239	1 3 8	12	
2019238	2 1 7	10	
2019237	9 5 9	23	
2019236	2 1 9	12	
2019235	7 7 0	14	
2019234	3 4 0	7	
2019233	6 1 0	7	
2019232	7 8 9	24	
2019231	1 1 0	2	
2019230	8 8 7	23	
2019229	8 4 5	17	
2019228	0 5 4	9	
2019227	2 6 5	13	
2019226	2 5 2	9	
2019225	6 0 1	7	
2019224	0 4 3	7	
2019223	4 0 5	9	
2019222	1 5 5	11	
2019221	4 8 4	16	
2019220	0 1 0	1	
2019219	4 7 5	16	
2019218	5 3 2	10	
2019217	3 6 1	10	
2019216	4 0 8	12	
2019215	4 8 7	19	
2019214	7 8 0	15	
2019213	2 4 5	11	
2019212	7 8 6	21	
2019211	1 2 3	6	
2019210	3 7 1	11	
2019209	3 0 6	9	
2019208	6 7 4	17	
2019207	9 2 4	15	
2019206	8 7 9	24	
2019205	5 0 0	5	
2019204	3 9 0	12	
2019203	1 4 0	5	
2019202	2 4 9	15	
2019201	9 4 1	14	
2019200	0 1 4	5	
2019199	0 0 3	3	
2019198	5 9 4	18	
2019197	5 4 4	13	
2019196	8 5 3	16	
2019195	7 3 4	14	
2019194	5 5 0	10	
2019193	9 4 3	16	
2019192	7 4 6	17	
2019191	2 8 7	17	
2019190	4 6 4	14	
2019189	3 1 7	11	
2019188	4 4 6	14	
2019187	1 1 2	4	
2019186	1 5 7	13	
2019185	1 9 4	14	
2019184	0 6 0	6	
2019183	7 2 9	18	
2019182	3 5 1	9	
2019181	1 6 8	15	
2019180	9 2 6	17	
2019179	4 0 2	6	
2019178	7 9 6	22	
2019177	0 6 1	7	
2019176	5 0 1	6	
2019175	4 6 4	14	
2019174	8 4 8	20	
2019173	8 4 6	18	
2019172	4 1 6	11	
2019171	6 6 1	13	
2019170	5 7 8	20	
2019169	0 6 0	6	
2019168	0 6 1	7	
